step,row_count,fraud_count,flagged_fraud_count,amount_sum,fraud_amount_sum,fraud_rate,fraud_per_10k,step_day,hour_of_day,period
129,21986,6,0,4391391782.56,5241801.3,0.00027290093695988356,2.7290093695988356,6,8,Ban ngày
130,32890,6,0,6698931223.32,3435903.52,0.00018242626938279113,1.8242626938279114,6,9,Ban ngày
131,36375,16,0,6783763408.09,51400602.1,0.00043986254295532644,4.398625429553264,6,10,Ban ngày
132,35936,10,0,6687443284.34,17150389.72,0.00027827248441674086,2.7827248441674084,6,11,Ban ngày
133,35147,10,0,6475193394.21,4689421.22,0.0002845193046348195,2.8451930463481947,6,12,Ban ngày
134,32391,10,0,5611630988.639999,35956235.2,0.0003087277330122565,3.0872773301225647,6,13,Ban ngày
135,27556,8,0,4825611448.52,1425274.0,0.00029031789809841774,2.9031789809841775,6,14,Ban ngày
136,30340,10,0,5402422002.03,25158940.18,0.0003295978905735003,3.295978905735003,6,15,Ban ngày
137,32559,12,0,5123734992.96,15980105.26,0.0003685616880125311,3.6856168801253113,6,16,Ban ngày
138,31422,4,0,4430204695.77,1076311.7,0.0001272993444083763,1.272993444083763,6,17,Ban ngày
139,46054,4,0,6807832968.0,773591.6799999999,8.685456203587093e-05,0.8685456203587093,6,18,Ban ngày
140,37012,14,0,4940313493.58,17079616.099999998,0.00037825570085377717,3.7825570085377715,6,19,Ban ngày
141,16434,8,0,2084368981.78,5532339.9,0.0004867956675185591,4.8679566751855905,6,20,Ban ngày
142,12189,8,0,1546712100.15,13332653.7,0.0006563294773976536,6.563294773976536,6,21,Ban ngày
143,7609,16,0,931760710.67,29783410.48,0.0021027730319358655,21.027730319358653,6,22,Ban đêm
144,3523,10,0,377448388.59,7010986.9,0.002838489923360772,28.38489923360772,6,23,Ban đêm
145,1117,14,0,113049826.98,14281544.16,0.012533572068039392,125.33572068039392,7,0,Ban đêm
146,522,10,0,66316130.03,17083347.98,0.019157088122605363,191.57088122605361,7,1,Ban đêm
147,84,6,0,20314127.37,4298922.86,0.07142857142857142,714.2857142857142,7,2,Ban đêm
148,12,12,0,10802770.02,10802770.02,1.0,10000.0,7,3,Ban đêm
149,22,22,0,42013551.06,42013551.06,1.0,10000.0,7,4,Ban đêm
150,14,14,0,14014584.440000001,14014584.440000001,1.0,10000.0,7,5,Ban đêm
151,18,18,0,10203595.36,10203595.36,1.0,10000.0,7,6,Ban ngày
152,6,6,0,5335020.24,5335020.24,1.0,10000.0,7,7,Ban ngày
153,19475,10,0,3684861307.08,3798339.2,0.0005134788189987163,5.134788189987163,7,8,Ban ngày
154,29241,10,0,5375430913.09,11189249.42,0.00034198556820902155,3.4198556820902155,7,9,Ban ngày
155,29927,8,0,5606061971.16,7393758.66,0.00026731713837003374,2.6731713837003372,7,10,Ban ngày
156,27603,18,0,4960414720.23,7466927.98,0.0006521030322791001,6.521030322791001,7,11,Ban ngày
157,29764,16,0,5050314367.42,25721936.5,0.0005375621556242441,5.37562155624244,7,12,Ban ngày
158,27839,8,0,4789734067.88,11549795.48,0.00028736664391680735,2.8736664391680735,7,13,Ban ngày
159,27561,10,0,4573981952.64,2873930.94,0.00036283153731722363,3.6283153731722364,7,14,Ban ngày
160,27765,26,0,4657390938.93,88872442.84,0.0009364307581487485,9.364307581487484,7,15,Ban ngày
161,33049,14,0,5387907144.99,44869829.06,0.0004236134224938727,4.236134224938727,7,16,Ban ngày
162,40622,10,0,6199143085.37,35038688.1,0.00024617202501107775,2.4617202501107776,7,17,Ban ngày
163,46352,8,0,6710359139.23,4425650.78,0.00017259233690024162,1.7259233690024163,7,18,Ban ngày
164,39102,14,0,4981351201.62,9819639.38,0.00035803795202291446,3.5803795202291444,7,19,Ban ngày
165,16542,4,0,2053484812.33,5334490.5600000005,0.00024180872929512756,2.4180872929512756,7,20,Ban ngày
166,12176,6,0,1382688727.46,4116659.24,0.0004927726675427069,4.927726675427069,7,21,Ban ngày
167,7946,6,0,933051702.08,6258291.619999999,0.0007550969041026932,7.550969041026932,7,22,Ban đêm
168,3824,2,0,442551927.76,15027162.92,0.0005230125523012552,5.230125523012552,7,23,Ban đêm
169,1464,10,0,136069265.33,5548484.82,0.006830601092896175,68.30601092896174,8,0,Ban đêm
170,529,16,0,82260708.29,37207453.82,0.030245746691871456,302.45746691871454,8,1,Ban đêm
171,14,14,0,30834521.240000002,30834521.240000002,1.0,10000.0,8,2,Ban đêm
172,10,10,0,7312840.08,7312840.08,1.0,10000.0,8,3,Ban đêm
173,14,14,0,27327876.34,27327876.34,1.0,10000.0,8,4,Ban đêm
174,10,10,0,6161251.8,6161251.8,1.0,10000.0,8,5,Ban đêm
175,8,8,0,2700000.9000000004,2700000.9000000004,1.0,10000.0,8,6,Ban ngày
176,10,10,0,3362807.26,3362807.26,1.0,10000.0,8,7,Ban ngày
177,17336,18,0,3047457482.65,6663945.3,0.0010383017997231195,10.383017997231194,8,8,Ban ngày
178,28204,14,0,5861954398.26,18498899.46,0.0004963834917033045,4.9638349170330445,8,9,Ban ngày
179,30534,8,0,5115943490.93,4712979.0,0.0002620030130346499,2.620030130346499,8,10,Ban ngày
180,31481,10,0,5639808481.31,36439112.2,0.00031765191702931925,3.1765191702931923,8,11,Ban ngày
181,31749,11,0,5681319969.67,6882774.859999999,0.0003464676052789064,3.464676052789064,8,12,Ban ngày
182,31900,8,0,5233469114.49,5430241.72,0.00025078369905956113,2.5078369905956115,8,13,Ban ngày
183,31199,16,0,4692443326.21,18978467.1,0.0005128369499022404,5.128369499022404,8,14,Ban ngày
184,32175,8,0,5061974882.0,641278.26,0.00024864024864024864,2.4864024864024863,8,15,Ban ngày
185,37323,16,0,6153894465.29,5595525.86,0.00042869008386249764,4.286900838624977,8,16,Ban ngày
186,43747,17,0,6531302921.01,37206085.21,0.00038859807529659175,3.8859807529659176,8,17,Ban ngày
187,49083,10,0,7391259249.559999,23756742.34,0.00020373652792209115,2.0373652792209116,8,18,Ban ngày
188,39079,10,0,4675322824.45,20778776.86,0.0002558919112566852,2.558919112566852,8,19,Ban ngày
189,17674,10,0,2001807262.67,10138774.0,0.0005658028742786014,5.658028742786014,8,20,Ban ngày
190,12669,8,0,1350395827.22,22112574.56,0.0006314626253058647,6.3146262530586466,8,21,Ban ngày
191,9111,12,0,886835789.38,5392995.26,0.0013170892327955218,13.170892327955219,8,22,Ban đêm
192,4314,10,0,409379744.14,8309608.76,0.0023180343069077423,23.180343069077423,8,23,Ban đêm
193,1511,8,0,136595891.1,2287478.94,0.005294506949040371,52.945069490403704,9,0,Ban đêm
194,671,12,0,58442261.13,12961770.02,0.01788375558867362,178.83755588673623,9,1,Ban đêm
195,141,10,0,20572775.97,6852035.22,0.07092198581560284,709.2198581560284,9,2,Ban đêm
196,8,8,0,4998965.9399999995,4998965.9399999995,1.0,10000.0,9,3,Ban đêm
197,4,4,0,4894973.5,4894973.5,1.0,10000.0,9,4,Ban đêm
198,12,12,0,39553204.839999996,39553204.839999996,1.0,10000.0,9,5,Ban đêm
199,10,10,0,10151804.44,10151804.44,1.0,10000.0,9,6,Ban ngày
200,8,8,0,26179145.6,26179145.6,1.0,10000.0,9,7,Ban ngày
201,17963,8,0,2444701645.21,7441642.08,0.00044535990647441966,4.453599064744196,9,8,Ban ngày
202,31949,2,0,4604339087.28,4527854.08,6.259976838085699e-05,0.6259976838085699,9,9,Ban ngày
203,36176,8,0,5277176879.03,16146721.32,0.00022114108801415304,2.2114108801415306,9,10,Ban ngày
204,36856,6,0,5284768973.08,4610782.02,0.00016279574560451487,1.6279574560451486,9,11,Ban ngày
205,33549,16,0,5365333264.48,5527243.84,0.00047691436406450266,4.7691436406450265,9,12,Ban ngày
206,29777,12,0,4206648534.99,16591881.879999999,0.00040299560063135977,4.029956006313598,9,13,Ban ngày
207,28288,6,0,4078718390.73,2097202.1999999997,0.00021210407239819005,2.1210407239819005,9,14,Ban ngày
208,29058,21,0,4081255354.45,23244096.62,0.0007226925459425976,7.226925459425976,9,15,Ban ngày
209,30372,6,0,4141703465.12,17780416.1,0.00019755037534571315,1.9755037534571314,9,16,Ban ngày
210,33004,8,0,4369134560.91,6867773.52,0.00024239486122894195,2.4239486122894194,9,17,Ban ngày
211,36889,14,0,4763104506.09,17522541.48,0.000379516929165876,3.7951692916587603,9,18,Ban ngày
212,34047,40,1,4386135424.32,104335505.4,0.001174846535671278,11.74846535671278,9,19,Ban ngày
213,14775,8,0,1876024774.84,9595979.6,0.0005414551607445009,5.414551607445008,9,20,Ban ngày
214,10746,12,0,1331914190.0,13397102.579999998,0.0011166945840312675,11.166945840312675,9,21,Ban ngày
215,7975,10,0,1040812156.91,23474504.360000003,0.0012539184952978057,12.539184952978058,9,22,Ban đêm
216,4130,6,0,514605168.46,3530629.18,0.0014527845036319612,14.527845036319611,9,23,Ban đêm
217,3347,16,0,412718375.86,12623112.26,0.004780400358530027,47.804003585300265,10,0,Ban đêm
218,12,12,0,22237883.98,22237883.98,1.0,10000.0,10,1,Ban đêm
219,10,10,0,8562844.34,8562844.34,1.0,10000.0,10,2,Ban đêm
220,6,6,0,9687097.08,9687097.08,1.0,10000.0,10,3,Ban đêm
221,10,10,0,5286186.14,5286186.14,1.0,10000.0,10,4,Ban đêm
222,8,8,0,5949300.24,5949300.24,1.0,10000.0,10,5,Ban đêm
223,8,8,0,6587448.4799999995,6587448.4799999995,1.0,10000.0,10,6,Ban ngày
224,10,10,0,20234992.58,20234992.58,1.0,10000.0,10,7,Ban ngày
225,18366,12,0,3585708429.11,4533541.76,0.0006533812479581836,6.533812479581836,10,8,Ban ngày
226,27522,12,0,6125641173.05,23010432.96,0.0004360148245040331,4.360148245040331,10,9,Ban ngày
227,30871,14,0,6004298462.84,17055559.22,0.0004535000485892909,4.535000485892909,10,10,Ban ngày
228,30965,16,0,5912909516.1,39930580.08,0.000516712417245277,5.16712417245277,10,11,Ban ngày
229,28304,8,0,5042346774.47,1997995.42,0.0002826455624646693,2.8264556246466928,10,12,Ban ngày
230,26034,17,0,4431692044.84,38649949.32,0.0006529922409157255,6.529922409157256,10,13,Ban ngày
231,26968,17,0,4651274087.59,18176361.03,0.0006303767428062889,6.303767428062889,10,14,Ban ngày
232,27482,10,0,4836628260.07,10156761.98,0.0003638745360599665,3.6387453605996654,10,15,Ban ngày
233,14703,12,0,2401809316.28,3109627.22,0.0008161599673536013,8.161599673536013,10,16,Ban ngày
234,34053,14,0,5373207185.74,3647395.52,0.0004111238363727131,4.111238363727131,10,17,Ban ngày
235,47491,10,0,7298145078.92,10014132.379999999,0.00021056621254553494,2.1056621254553494,10,18,Ban ngày
236,37109,10,0,4564006648.72,13303190.879999999,0.0002694764073405373,2.694764073405373,10,19,Ban ngày
237,16003,12,0,1868247705.8,51710120.12,0.0007498594013622446,7.498594013622446,10,20,Ban ngày
238,10920,14,0,1211714724.47,31908350.78,0.001282051282051282,12.820512820512821,10,21,Ban ngày
239,8554,10,0,931485164.92,3089193.6,0.0011690437222352116,11.690437222352116,10,22,Ban đêm
240,4189,14,0,459973475.4,11598641.0,0.0033420864168059203,33.420864168059204,10,23,Ban đêm
241,1865,18,0,180380700.47,10169644.12,0.0096514745308311,96.51474530831099,11,0,Ban đêm
242,637,8,0,65930719.52,14575221.68,0.012558869701726845,125.58869701726846,11,1,Ban đêm
243,8,8,0,16247876.120000001,16247876.120000001,1.0,10000.0,11,2,Ban đêm
244,12,12,0,27299325.08,27299325.08,1.0,10000.0,11,3,Ban đêm
245,4,4,0,1624691.7799999998,1624691.7799999998,1.0,10000.0,11,4,Ban đêm
246,4,4,0,1692137.58,1692137.58,1.0,10000.0,11,5,Ban đêm
247,8,8,0,6475558.04,6475558.04,1.0,10000.0,11,6,Ban ngày
248,10,10,0,28243774.7,28243774.7,1.0,10000.0,11,7,Ban ngày
249,23209,28,0,3792800922.78,47020241.04,0.001206428540652333,12.06428540652333,11,8,Ban ngày
250,31854,22,1,6326260900.29,67870035.96,0.0006906510956237835,6.9065109562378355,11,9,Ban ngày
251,35269,10,0,5771315721.2300005,24013421.259999998,0.0002835351158240948,2.835351158240948,11,10,Ban ngày
252,35590,2,0,5854918089.56,152400.08,5.6195560550716494e-05,0.561955605507165,11,11,Ban ngày
253,33311,10,0,5942227724.38,7202085.800000001,0.0003002011347602894,3.002011347602894,11,12,Ban ngày
254,29553,10,0,4521637821.26,5394751.48,0.000338375122660982,3.38375122660982,11,13,Ban ngày
255,28840,8,0,3974800979.95,2180114.6799999997,0.00027739251040221914,2.7739251040221915,11,14,Ban ngày
256,28570,8,0,3918809333.85,20354123.44,0.000280014000700035,2.80014000700035,11,15,Ban ngày
257,26843,6,0,3605125811.29,13407793.8,0.00022352196103267146,2.2352196103267143,11,16,Ban ngày
258,27662,8,0,3583780336.6,7159475.5200000005,0.0002892054081411322,2.8920540814113225,11,17,Ban ngày
259,43328,10,0,5076897554.77,22105540.560000002,0.00023079763663220087,2.3079763663220088,11,18,Ban ngày
260,33674,12,0,3787449731.79,39424375.56,0.00035635802102512324,3.5635802102512324,11,19,Ban ngày
261,14420,20,0,1569022159.21,27005758.06,0.0013869625520110957,13.869625520110958,11,20,Ban ngày
262,11125,22,0,1221492417.02,23105143.94,0.0019775280898876404,19.775280898876403,11,21,Ban ngày
263,8021,6,0,685238193.2,1265463.02,0.0007480364044383493,7.480364044383493,11,22,Ban đêm
264,4042,8,0,368989231.13,6467931.44,0.0019792182088075212,19.79218208807521,11,23,Ban đêm
265,1581,12,0,144773162.36,22467481.86,0.007590132827324478,75.90132827324479,12,0,Ban đêm
266,767,10,0,105005135.03,61784214.44,0.01303780964797914,130.3780964797914,12,1,Ban đêm
267,77,8,0,54389457.77,11757100.52,0.1038961038961039,1038.961038961039,12,2,Ban đêm
268,6,6,0,8090414.72,8090414.72,1.0,10000.0,12,3,Ban đêm
269,14,14,0,30786900.72,30786900.72,1.0,10000.0,12,4,Ban đêm
270,16,16,0,7453709.26,7453709.26,1.0,10000.0,12,5,Ban đêm
271,12,12,0,21611875.28,21611875.28,1.0,10000.0,12,6,Ban ngày
272,12,12,0,14762929.3,14762929.3,1.0,10000.0,12,7,Ban ngày
273,7871,20,0,1057528069.92,23804168.6,0.002540973192732817,25.409731927328167,12,8,Ban ngày
274,19202,20,0,2826244635.49,19364377.9,0.0010415581710238517,10.415581710238516,12,9,Ban ngày
275,24797,10,0,3508304287.57,14612377.940000001,0.000403274589668105,4.03274589668105,12,10,Ban ngày
276,26383,10,0,4412622274.43,13629640.32,0.0003790319523935868,3.790319523935868,12,11,Ban ngày
277,25925,14,0,4044242654.87,8334851.02,0.0005400192864030858,5.400192864030858,12,12,Ban ngày
278,25737,4,0,4022655172.18,659767.1599999999,0.00015541826941757004,1.5541826941757004,12,13,Ban ngày
279,25925,22,1,4231256216.76,65064759.15,0.0008486017357762777,8.486017357762778,12,14,Ban ngày
280,25956,4,0,4068126710.03,1489232.8199999998,0.0001541069502234551,1.5410695022345509,12,15,Ban ngày
281,27778,18,0,4504317592.53,21634287.86,0.0006479948160414716,6.479948160414716,12,16,Ban ngày
282,31118,18,0,5081155730.24,8020630.52,0.000578443344687962,5.7844334468796195,12,17,Ban ngày
283,36644,8,0,6258571159.98,3965925.56,0.00021831677764436196,2.1831677764436197,12,18,Ban ngày
284,33449,16,0,5923047332.08,8986754.62,0.0004783401596460283,4.7834015964602825,12,19,Ban ngày
285,14266,16,0,2842978700.69,27572837.080000002,0.0011215477358755082,11.215477358755082,12,20,Ban ngày
286,11333,8,0,2435387156.5,6015907.74,0.000705903114797494,7.05903114797494,12,21,Ban ngày
287,6889,10,0,1444658464.92,20667853.0,0.0014515894904920889,14.51589490492089,12,22,Ban đêm
288,4018,10,0,940528731.73,5445147.0,0.0024888003982080635,24.888003982080637,12,23,Ban đêm
289,1437,12,0,200942836.62,1910568.3,0.008350730688935281,83.5073068893528,13,0,Ban đêm
290,487,8,0,52148206.04,4365133.1,0.01642710472279261,164.2710472279261,13,1,Ban đêm
291,44,10,0,55410020.12,7547162.24,0.22727272727272727,2272.7272727272725,13,2,Ban đêm
292,8,8,0,6010883.12,6010883.12,1.0,10000.0,13,3,Ban đêm
293,4,4,0,1529597.5,1529597.5,1.0,10000.0,13,4,Ban đêm
